"","vtitle","vpoint","vreview"
"148","이스케이프 플랜3","8","보는내내 속이 거북했어요..남자분들 혼자만 보세요 커플끼리는 비추해요..자극적이기는 엄청 자극적이에요..김강우 연기랑 연회장면이 기억에 남아요 여주인공 예쁘네요.."
"149","극장판 귀멸의 칼날: 무한열차편","6","가족이 아메리칸 드림 이루는 모습이 나왔으면 더 좋았을듯 연기는 굿임"
"150","승리호","7","이엘리야 이쁜맛에보긴봤는데.. 휠체어에 곰돌이인형.. 매달고 다니지마라.. 죽는다..진짜;;"
"151","순정","6","색다른 영상미를 느낄수있었다. 배우들 연기잘함"
"152","골든슬럼버","9","고난 속에서 살아남는 가족 이야기. 기생충이 사회 부조리를 콕 짚어 내려다봤다면, 미나리는 현장 속으로 쑥 들어가 버린다. 연기, 촬영, 음악도 고루 좋은 듯"
"153","이스케이프 플랜 2: 하데스","10","그냥 애니메이션을 보면서 영상에 압도된적은 처음이었습니다. 정말 최고네요"
"154","미드소마","10","할머니가 보고 싶어졌다."
"155","해피 투게더","8","잔잔하고 아름다운.미나리 옆 잔물결같은 영화."
"156","승리호","1","감독님, 촬영장에 불좀 키고 찍으세요."
"157","미션 파서블","6","내가 공감할수 없는 세대의 이야기 보고 나서도 여전히 공감하지 못했다"
"158","이스케이프 플랜3","10","나의 어릴 적 동심과 추억을 예쁜 앨범으로 만들어 준 행복한 선물같은 영화"
"159","극장판 귀멸의 칼날: 무한열차편","10","조온나재밌음ㅋㅋ보는내내 개꿀잼"
"160","승리호","6","여기 나왔던 조연들은 다 대박이다... 지금 다 잘나가는 사람들만 나오네"
"161","순정","10","간만에 한국영화 재밌어요 ^^"
"162","골든슬럼버","10","그럼에도 불구하고 꿋꿋하게!"
"163","이스케이프 플랜 2: 하데스","10","최고의 영화입니다. 추천합니다."
"164","미드소마","10","담백한 연출이 좋았어요"
"165","해피 투게더","8","삶을 되돌아 보게 하는 잔잔한 영화입니다"
"166","승리호","10","4번 즙짰습니다1. 탄지로 꿈속 회상씬2. 렌코쿠 첫 기술3. 렌코쿠 부상 후 탄지로 오열4. 렌코쿠 사망 직전 어머니 재회씬진짜 귀칼은 전설입니다"
"167","미션 파서블","4","대한민국 관객의 눈은 높아졌음. 이게 뭐임."
"168","이스케이프 플랜3","10","그냥 영화시작하고 20분지나고부터 계속 울었어요 휴지뽑고 닦고 다젖고 젖어서 계속 눈물났어요 마음이저릴듯이크게다가온영화에요 저는 할아버지가 아주애기때 돌아가셔서 추억이없어 공감되는스토리는아니였던 제가 이정도오열하는데 하 정말 너무감동받고 그냥 마음속 깊게 새기고싶은 영화입니다 너무 잘봤어요"
"169","극장판 귀멸의 칼날: 무한열차편","4","뭐 어쩌라는건지 기대가 너무 높았나 엥 스러웠다..갑자기 집에서 티비만 보고있으라니깐 구지구지 쓰레기를 태우고 미나리 찬양에...음;"
"170","승리호","10","이용철이는 평점이 항상 낮냐"
"171","순정","7","킬링타임용 괜찮음.철부지가 현실을 깨닫고 철이 드는 과정.주연,조연보다 우정출연한 유지태의압도적인 장악력이 돋보이는 작품."
"172","골든슬럼버","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"173","이스케이프 플랜 2: 하데스","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"174","미드소마","10","배우들의 연기력이 대박이다...."
"175","해피 투게더","8","소박하지만 담백하게, 어디에서든 피어날 사람들의 이야기"
"176","승리호","4","독립영화같은느낌차분하고조용한"
"177","미션 파서블","10","킬링타임으로 가서 봤는데 생각보다 너무 재밌게 잘봤어요! 후반부로 갈수록 휘몰아치네요"
"178","이스케이프 플랜3","10","이영화 재밌어요 와우 대박 반전 !"
"179","극장판 귀멸의 칼날: 무한열차편","10","미쳤다 !!!슬펐다!!! 죽지 않길 바랬는데 ..."
"180","승리호","10","공감하면서 눈물흘리면서 재밌게 봤어요!연기 굿!"
"181","순정","10","기대보다 더 좋았어요. 마음이 편해지는 영상과 음악, 거기에 배우들의 멋진 연기들까지 호평 받을만한 영화가 분명합니다. 가족들 데리고 한번 더 보러가고 싶네요"
"182","골든슬럼버","8","영상미와 음악이 큰 몫합니다. 보는 내내 먹먹해요"
"183","이스케이프 플랜 2: 하데스","10",""
"184","미드소마","10","너무나도 감동스럽고 재밋엇습니다 추천합니다!!"
"185","해피 투게더","8","소재가 특이했고 영상미도 압도적이었음. 재미있게 보고옴."
