"","vtitle","vpoint","vreview"
"593","이스케이프 플랜 2: 하데스","10","이 영화는 그냥 최고다... 몇번을 봐도 안 질리네"
"594","미드소마","9","가볍게 보려했는데 연출과 코믹 케미 작렬"
"595","해피 투게더","10","아니 이렇게 명작이 평점이 왜이리 낮음? 개 잼있는데.. 처음에 본것보다 두번째보니 명작이였네.."
"596","승리호","7","인종주의적 설정의 한계."
"597","미션 파서블","10","와 이런 영화가 있었어?.. 최근 신하균 배우님 연기에 빠져서 작품 찾다가 보게된영화 이건 장르가 뭐죠?.. SF 라고만 단정 짓기엔 미스터리 스릴러에 고어한 느낌도 있고 사회적 현실도 적절히 잘 반영된 블랙 코미디?.. 러닝 타임동안 이 영화의 온도차가 들쑥날쑥 하지만 전혀 이상하지 않은건 이캐릭터의 이배우들이 였기에 가능했던게 아닐까 정말 지구는 누가 지키죠? 여운이 오래 남아 몇번 더 찾아 보게 될듯 리메이크 희망해봅니다"
"598","이스케이프 플랜3","8","스릴있는 영화지만 뻔한 스토리와 결말이 예상되는 내용 나쁜년 연기는 훌륭했다.발연기는 일품ㅋㅋ"
"599","극장판 귀멸의 칼날: 무한열차편","10","김영광 잘생겼다"
"600","승리호","10","천재는 미친놈인 것 같아요"
"601","순정","5","가족을 잃은 슬픔의 순간을 잘 전달하고 있는데, 전반적으로 무난하고 특색이 없다는 것이 단점이다."
"602","골든슬럼버","10","재밌습니다 작화가 좋아요"
"603","이스케이프 플랜 2: 하데스","10","남자가 눈물 흐르게 만들었네요"
"604","미드소마","10","영화에서 연출된 모든 것이 서로 시너지를 내면서 작품을 완벽하게 만들었다 한가지 아쉬운건 내가 이 영화를 영화관에서 못 본거.."
"605","해피 투게더","2","기대안하고 봤는데 너무 별로에요. 90년대에 복붙처럼 막 찍어댄 흔한 스릴러느낌. 괜찮은 소재였는데..감독이 못살렸어요. 소재가 너무 아깝습니다."
"606","승리호","1","뜬금 신파야 참겠는데... 1도 없는 개연성... 허술한 액션... 의미없이 감수하는 위험.... 못 봐줄정도다.... 차뒤에 서서 쏴도 되는걸 굳이 길막고 쏘다 피하고... 온갖 복선이 다 너무 튀어서 앞날이 너무 뻔한데 차 액션도 구려... 긴박감도 없고... 염정화 역할도 오바스럽고... 아니 이 배우들 가져다 이렇게 낭비하는게 ㅋㅋㅋㅋ 진짜 그것도 기술이다... 연출력이 진짜 대박임... 어쩜 이리 재미없게 만드는지... 너무 뻔하게 흘러가는데 인물들의 행동이 다 그냥 맹목적이다. 맹목적으로 착하고 나쁘고 선하고 정의감넘치고... 그와중에 반전들마저 어설프고... 액션은 속도감대신 축축쳐진다. 배기음이 강렬하다고 속도감이 붙는게 아님... 중학생 수준의 스토리에... 제일 문제는 감독의 연출... 찍어놓고 아까워서 늘어난 영화시간까지... 뭐 괜찮은게 하나도 없다..."
"607","미션 파서블","10","위트가 살아있는 추리영화이며 한사람의 선한마음만으로 감동을 주는 영화"
"608","이스케이프 플랜3","10","2008년 개봉 당시 보고싶었던  그리고 청춘일때 봤다면 어떤 감정이 였을까 그리고 나에게 어떠한 영감을 줬을까2021년 지금. Bravo my life후회없이 도전하고 즐기며 성취하여 모든것을 사랑하라.그리고 벤저민처럼 나의 유산 기록은 꼭 남기자기록은 기억을 지배하니까"
"609","극장판 귀멸의 칼날: 무한열차편","3","어차피 후속편 만들거였으면 세계관과 드라마에 대해 고민해보는게 좋지 않았겠어? 뭐 내용이 읍써도 너무 읍다야!"
"610","승리호","10","뻔한 눈물장전 결말일줄알았는데 그렇지았않아서 좋았다. 엄마의 소중함을 다시한번 느낀영화."
"611","순정","8","일어날일은 일어난다면 미래의 파괴된 환경은 결국 일어났고 과거에 환경이 망가지던 덜 망가지던 미래의 파괴된 환경은 이미 일어난 일인데 왜 굳이 미래인이 과거에 관여하려한건지 좀 이해가 안되네"
"612","골든슬럼버","1","커쇼를 향해 가즈아~~~~!"
"613","이스케이프 플랜 2: 하데스","8","기예르모 델 토로의 잔혹동화."
"614","미드소마","10","두번 봤는데 존잼 ㅠㅠ ㅋㅋㅋ"
"615","해피 투게더","8","러닝타임 내내 스토리, 영상미, 연기 등등 쩔던데 갑자기 훅 꺼져버리고 끝난 느낌... 근데 속편 제작 계획이었다고? 기다린다.."
"616","승리호","10",""
"617","미션 파서블","10","나도 누군가가 내 마음을 분해하고 고쳐줬으면 좋겠네...."
"618","이스케이프 플랜3","10","왜 2021년도에 봤을까요.. 단순한 멜로를 넘어선.. 또 보고 또 보고 있어요 ㅎㅎ 물론 영어공부 위해서 보기 시작했지만, 이 영화 스크립트 다 외우기 목표입니댜??"
"619","극장판 귀멸의 칼날: 무한열차편","10","넷플릭스에서 시리즈를 하루만에 완주하고...다음스토리 너무 궁금해서 극장판 봤습니다. 너무 잼나요ㅠㅠ 정말 십여년만에 보는 일본 애니인데 귀멸의 칼날은 정말 완벽해요. 영화 보고 난 다음 내용도 궁금해서 e북 만화책 구매했어요. 완결이 났다고 하니 기절시켜서 깨워달라고 할 필요없이 안심하고 정주행 가능할거 같아요."
"620","승리호","2","연출...스토리...다별로입니다.진짜 별로다"
"621","순정","6","전종서 연기보려고 계속봄"
"622","골든슬럼버","10",""
"623","이스케이프 플랜 2: 하데스","2","돈주고보기 아까웠습니다.cg는 외국 큰자본 영화의 cg에 크게 떨어지지않았습니다. 근데 내용이...."
"624","미드소마","9","느리지만 강한 메시지연기와 연출 흠잡을데 없어요"
"625","해피 투게더","10","박해수 너무 안죽는거 빼곤 볼만했음"
"626","승리호","10",""
"627","미션 파서블","10","왜 그냥 무덤덤하게본 영화 한편에 눈물이 나는건지  ... 벤자민이라는 단어만 상기시켜도 그냥 가슴이 저릿하다"
"628","이스케이프 플랜3","7","너 스스로를 가두지 마. 한번 더 망설이면 끝이다"
"629","극장판 귀멸의 칼날: 무한열차편","2","여자는 피해자 남자는 가해자 ㅇㅂ하고 자빠졌네 ㅉㅉㅉ"
"630","승리호","10",""
"631","순정","1","말같지도 않은 설정..."
"632","골든슬럼버","1","너무 밋밋하고 잔잔하네요  이런 스토리를 이렇게 교과서처럼 무미건조하게 만드는 것도 능력입니다  감독이나 연기자 모두 아쉬움이 많네요  특히 여주인공의 행동이 전혀 개연성이 없네요  경찰에 신고하지도 않고 남주인공을 왜 그냥 믿어버리는건지  도무지 영화에 몰입이 되지 않음 절제를 너무 하다보니 영화를 절단을 내놨네"
"633","이스케이프 플랜 2: 하데스","10","오늘부터 내인생의 인생영화가 늘었다!진짜  사람은 배워야하고 나아가야한다는것도 다시금  뼈저리게 느꼈고!  헝그리정신ㆍ부정으로는 못할것이 없다는것도  이 영화를 보며 느꼈다!요새같은 힘든시기에 정말 내삶을 되돌아보게하는 명작을 보게되어  넘감사하다^^"
"634","미드소마","5","김희원은연기 참 맛깔나게 한다"
"635","해피 투게더","4","전형적인 스포츠 영화를 보여주는데, 캐릭터들이 생각만큼 인상적이진 않아서 몰입하기가 쉽진 않다."
"636","승리호","10","스릴러 끝판왕 연기 연출 모두 최고"
"637","미션 파서블","10","이제 더 이상 이런 영화는 중국에서 기대할 수 없다."
"638","이스케이프 플랜3","10","아주 많은 생각을 하게 해주는 영화. cg나 장소이동에 필요없이 배우 캐스팅에 제작비를 몰빵한 영화.소소한 웃음거리가 이어지고 철학적 사색이 포함된 영화"
"639","극장판 귀멸의 칼날: 무한열차편","7","역시 분수대 키스신은 역대급이다. 단지, 그것뿐이었다."
"640","승리호","10",""
"641","순정","8","2d연출은 어색하지 않게 잘나타냈지만 스토리가 지루한부분이 없지않아 있습니다"
"642","골든슬럼버","8","간만에 좋은 영화 일것 같았는데.... 흐름이 너무 끊어지네요. 영상은 너무 아름 다운데~스토리가 조금더 깊었으면 너무 좋았겠어요. 아쉽다. 너무 아쉽다.이런 영화 좀더 나왔으면 좋겠네요~^^"
"643","이스케이프 플랜 2: 하데스","10","2가 나오기를 기다립니다 ㅜ ㅜ"
"644","미드소마","9","갓버트드니로.. 내 마음이 다 편해지네"
"645","해피 투게더","8","권총 2정 만으로 선사하는 예술의 극한"
"646","승리호","1","보다가 잠들었음 개노잼"
"647","미션 파서블","10","진짜 한 두세번 본거 처음이에요 이 영화에 대해 아무것도 모르는 친구랑 봤는데 친구도 재밌게 보고 눈물도 흘렸을 정도로 정말 감동적이고 재미있는 영화에요 특히 액션이 뛰어납니다.... 애니메이터 분들 손목이 걱정 될 정도입니다..."
"648","이스케이프 플랜3","5","성장형 먼치킨 드라마 한편 본듯"
"649","극장판 귀멸의 칼날: 무한열차편","10","영화 채널에서 처음부터 하길래 틀어놓고 뭐 먹으면서 봤는데 재밌어서 다 먹고부터는 몰입해서 봤네요. 쟁쟁한 배우들에 스토리가 조금 뻔하다면 뻔할 수 있지만 세조 실록에 나온 글을 토대로 이런 영화를 만들다니 신박하다는 생각이 들었습니다. 요즘 한국사 공부하는데 좀 지루하다가도 이런 역사 관련 재밌는 영화보면 공부할 맛도 나고 어디까지가 사실일까 생각도 해볼수 있어서 좋았습니다. 역사적 내용에 웃음코드 약간의 슬픈코드 다 있어서 재밌게 본 영화입니다!"
"650","승리호","6","무능한 변호사..뻔한 반전?"
"651","순정","10","Fred(고양이)하나의 눈을 가진 하나밖에 없는 친구. ♡ 삶 속에서 진짜를 놓치지 않길 바래요.♡영화가 끝나니 감명이 시작되네요.알고 있다고 생각한 것들은 실제론 알고 있었다고 믿고 싶었던 것들일까? 내가 안된다고 생각한 것들은실제론 타인을 위한 것일까 나를 위한 것일까? 나에 대한 믿음이 타인에게 신뢰로 허나 부족하지 않는 사람이 어디 있을까? 쓰다보니깐 무슨 말인지 모르겠다.완전한 문장을 써야 좋은 것일까?  Be happy every moment plz :D"
"652","골든슬럼버","2","이렇게 재미없는영화가 있었나시간아까움"
"653","이스케이프 플랜 2: 하데스","10",""
"654","미드소마","10",""
"655","해피 투게더","9","원작 안보고 봐도 재미 있어요 어른들이 봐도 좋은 영화 같아요"
"656","승리호","1","제목은 톰과 제리인데 주인공은 클로이임...아이들은 캐릭터를 좋아할텐데 어른들이 나오는 장면이 길고 지루함.. 내용도 어른스러움웬만하면 잘앉아있는 우리집 꼬마도 지루하다고 일어나서 힘들었음ㅜ"
"657","미션 파서블","10","현 청춘들의 버닝을 보여준 영화"
"658","이스케이프 플랜3","10",""
"659","극장판 귀멸의 칼날: 무한열차편","2","제발...알바좀 쓰지마세요아이린 갑질 아니었으면 홍보 장난아니었겠지만..그냥조용히 평점알바치려고한거 같은데 아닌거 같습니다."
"660","승리호","8","재밌게 봤어요. 요새 베라파미가 나오는 영화 찾으며 보는중."
"661","순정","2","명작이었던 1,2편의 명성에 똥칠을 함. 로보캅 특유의 세기말적인 분위기, 명확하던 영화의 주제의식은 온데간데 없어졌다. 뭘 말하고 싶은건지도 모르겠다  로보캅은 이런 영화가 아니잖아? 악역들의 매력도 너무 떨어졌음, 범죄도시 디트로이트를 주름잡는 악랄하고 잔인한 악당들은 어디가고 무슨일본폭주족 코스프레 한것같은 어이없는 찐따들이 설친다. 전작들에선 무섭고 너무나 싫은 악역들을 절대적인 무력으로 찍어누르며 일말의 망설임없이 무자비하게 쏴죽이던 로보캅 머피의 모습에서 전율을 느꼈다면, 3편은 악당들이 매력도없고 밉지도 싫지도않은 무색무취 그 자체라 걔들을 어떻게 꺾고때리고부숴도 아무런 감흥이 없음. 그냥 그런가보다...하는거지, 액션도오히려 더 퇴보했다. 전작은 투박하지만 묵직한 맛이 있었는데, 이건 그냥 뭔...."
"662","골든슬럼버","10","주인공이 레알 존잘....얼굴 피지컬 보다 시간 다감"
"663","이스케이프 플랜 2: 하데스","6",""
"664","미드소마","10","이런 B급 좋아합니다. 좋은 시도"
"665","해피 투게더","10","결이 다른 또 하나의 광주"
"666","승리호","8","스토리가 아쉽다 하는데 SF라는 효과와 장치들의 퍼포먼스 파티,눈으로 즐기는 게임,  그 자체의 장에서 '그놈의 스토리충' 들 말대로 좀더 짜임새있었다면 뭐가 어떻게 굴러가는지 모를 복잡하고 머리아픈걸로 그 어마어마한 효과와 CG,그래픽 월드가 한순간에 폴리곤덩어리가 되고 쓰잘때기없이 눈만아픈 효과가 됐을거라 생각함. 영화 감독이나 각본진이 이런사람들 말을 안듣는데는 다~ 이유가 있다고 생각함. 우리나라에서도 이런 CG와 상상력으로 짜낸 SF월드가 나올수 있다는것에 그저 신기하고 할 수 있었구나 싶고  고마울뿐이다. 이제 제대로 한걸음 딛음에 축하를 보내고 더욱 수려한 수준의 SF월드를 관객으로써 그리고 매니아로써 기대해볼것이 하나 더 생겨서 너무 좋다. 코시국만 아니었다면 영화만큼 화려한 영화관 성적을 거두었을것이라고 조심스레 생각함. 충분히 오락영화로써 멋졌고 재밌었다."
"667","미션 파서블","10","무조건 보세요 제 인생드라마입니다"
"668","이스케이프 플랜3","10",""
"669","극장판 귀멸의 칼날: 무한열차편","9","넷플로 봤는데 좀 충격적임. 끝나고 너무 우울하다 못해 암울함."
"670","승리호","10","학창시절 오해 안 당해 본 사람이 없을 만큼 오해의 대한 소재로 너무나 잘 표현한 영화네요 몇 번을 봐도 마지막 기태와 동윤의 장면은 가슴이 미어집니다"
"671","순정","10","보다가 울었어요... 진짜 꼭 보세요 감동쩔고 현빈이 진짜 너무 멋있어요.."
"672","골든슬럼버","8","뭔가 복잡한 듯한 느낌을 받았지만 두 번째로 보는 영화임에도 예측을 벗어나는 결말을 알기 힘든 흥미로운 영화"
"673","이스케이프 플랜 2: 하데스","8",""
"674","미드소마","6","발칙한 감독, 백윤식을 도구로 장르적 특유의 지루함을 극복했다. 스토리도 잘 만들었네~"
"675","해피 투게더","8","중독이 떠오른다. 강한 결심으로 현실에 디딘 발의 무게로 금욕하지만 다시 원위치 되는 인간의 모습. 과연 주인공 아저씨는 결심을 지킨 것인가? 끊어 낼 수 있을까? 끊어야 한다. 모두가 그렇다면 좋은 세상이 되겠지."
"676","승리호","6","와 개빡쳐 진짜... ost는 좋은데... 와... 진짜 단발머리 너어는.... 후..."
"677","미션 파서블","10","죽기전에 안보면 손해인 영화"
"678","이스케이프 플랜3","10","단추 참~~~ 힘들게 채워준다"
"679","극장판 귀멸의 칼날: 무한열차편","10","정말 너무 재밌게 봤습니다"
"680","승리호","6","국뽕도없고 답답하고 억지스럽고  미국대통령이 연기 제일 잘합니다"
"681","순정","10","보면 가슴이 웅장해지는 영화  2기 기다리면서 후유증이 너무 심하다 차라리 안 봤을 때로 돌아가고 싶다 너무 재미있다"
"682","골든슬럼버","10","스토리가 너무 복잡하지 않은 환타지영화라서 보는데 스트레스가 없다. 영상미가 뛰어나고 배우들의 연기도 좋고 기승전결 스토리도 짜임새있다"
"683","이스케이프 플랜 2: 하데스","10","렌고쿠를위한 영화 안보고후회하지말고 일단 보세요"
"684","미드소마","8","김선영님의 연기는 가히 최고였지만  맡은 역할에 대해선 이해가 되지 않는 부분이 있다. 학대 받고 살아왔다고 저렇게 평생을  폭력을 인정하며 , 마치 그러는 편이 편해보인다는듯 산다고? 거기에는 동의 할 수 없다.장윤주님의 연기도 좋았지만 학교씬은 현실과는 너무 거리가 멀지 않았나 싶다.  다시 느끼지만 가정폭력을 인정하며 사는 순간  그건 인간이길 포기한거다"
"685","해피 투게더","8","탄탄한 스토리에 튼실한 연기...수작이다."
"686","승리호","10","그냥 생각없이 틀었다가 많은 생각과 또 로스엔젤레스의 아름다움을 알게 해준 영화였네요마지막 부분은 특히 내젊은시절 아무것도 없이 꿈만 행해서 뛰어든 시절을 생각나게해 눈물이 나네요ㅠㅠ 스토리 연기 가릴거 없이 완벽한 영화였어요 이번달 중순에 하필 LA로 출국 예정인데 감흥이 정말 어마어마하네요ㅠ"
"687","미션 파서블","6","기대가 컸나보다. 감독 상상력 단순.진부. 정해놓은 결과치로 꿰어 맞춘 이야기일뿐. 자연스러운 교감이 안간다."
"688","이스케이프 플랜3","8","좀 이름있고 명성이 있는 배우들을 임팩트없이 보내는 것에 대한 아쉬움이 생겼음. 캐릭터에 대한 스토리를 짧은 런타임으로 인해 생략됨이 많지만 그럼에도 불구하고 분위기와 대부분의 스토리를 잘 짰고 끝을 향해 잘 달려갔다고 생각됨."
"689","극장판 귀멸의 칼날: 무한열차편","8","킬링타임용으로 봤는데 재미와 감동 모두 있다. 근데 막판에 너무 오글 ㅠ ㅠ 이솜 배우 연기가 아주 찰져서 좋았음"
"690","승리호","10","진짜 영화관에서 무조건 봐야하는 작품.."
"691","순정","10","마음이 울고싶을때 함께 울며 다독여주는 영화"
"692","골든슬럼버","8","나한테는 굉장히 야한 영화였는데 다른 이들은 액션씬을 주목해서 어리둥절했다.차이점은 영화를 본 장소였다.난 러시아 텔레비전에서 봤는데 무삭제였다.적나라한 씬들이 매우 인상적이었다.그래서 오늘 한국 케이블에서 다시 본 이 영화가 매우 담백하고 심심할 뿐이다."
"693","이스케이프 플랜 2: 하데스","10","모든면에서 완벽했다 감동그이상 최고의명작기다린보람이있다!! 맘이아프기도한ㅜㅜ"
"694","미드소마","10",""
"695","해피 투게더","9","퇴폐적인 화보집을 영상으로 보고온 느낌"
"696","승리호","7","조용히 살 수 없는 너무 많은 스포트라이트"
"697","미션 파서블","10","인생 top5 영화.최고의 배우들"
"698","이스케이프 플랜3","9","조선시대 분위기를 가볍게 담으면서 시대배경을 잘 표현한거 같습니다."
"699","극장판 귀멸의 칼날: 무한열차편","10","좋은데요? 기대 안하고 봤는데 한국영화 발전 많이한듯"
"700","승리호","10","넷플릭스로 지금 또 보고있는데그날의 감동이ㅠ 볼때마다 감동"
"701","순정","10","대사와 그림체 모두 기대이상 이었습니다ㅎㅎ넘 감동이었습니다ㅜㅜ"
"702","골든슬럼버","10","2021년에 다시봐도 미침. 죽여주는영화"
"703","이스케이프 플랜 2: 하데스","1","아 이게 무슨 3류 영화냐"
"704","미드소마","9","오랜만에 흥미진진했던 영화 연기력은 말해뭐해... 좁은공간에서 주는 은근한 긴장감도 좋았다"
"705","해피 투게더","9","처음본지 20년이 가까이 지났고, 가끔 어쩌다가 연관검색에 나와도 쉽게볼수없다..그예전 눈물흘렸던게 기억나서.."
"706","승리호","6","지금은 어린애들 데리고 이런영화 못찍음.그잘난 인권충들 때문에.   몇년만에 다시보니 초호화 캐스팅이네. 지금은 민기가 절대 주연급이 아닌데 ㅎ 대단하네.김고은은 여자들이 은근히 시샘하고 싫어하는거 같네. 김고은은 남자들의 로망이다."
"707","미션 파서블","8",""
"708","이스케이프 플랜3","3","야이씹.. 그 열정이면 군대를 가라.. 한녀들의 천태만상이 보이더구나"
"709","극장판 귀멸의 칼날: 무한열차편","7","아쉬 운점은 좀 현실좀 반영좀 시키지 그래 총이야그래 상처 없이 벌레만 맞출수 있다고 처. 킹콩이 저리 들고 날리 부루스 치고 흔들어대면서 종일 내달렸는대 오바이트 한번도 아무리 멀미에 강한사람이라고 처도... 그리고 저리 굴루고 그랬는대 화장은 또 언재했는지 너무 꺠긋한 피부"
"710","승리호","2","우성씨가 문통 연기하는건가요? 아~ 진짜 연기 너무못하네요 차라리 문통이 직접 출연하는게 더좋을듯합니다 최악이네요 그리고 유연석씨는 연기좋았어요^^ 진짜 살빠진김일성느낌~~~^^"
"711","순정","8","분명히 러브레터 후속작은 아닌데, 후속작을 본 느낌..."
"712","골든슬럼버","9","소재가 신선하고, 노이즈가 매우 코믹합니다."
"713","이스케이프 플랜 2: 하데스","10","영화 시작후 ㅈ같은 학교폭력 장면 꾹 참고 보면서 스토리에 올라타면 재미있네요 배우들의 연기도 훌륭하고 기승전결 스토리도 짜임새있는 독립영화의 수작입니다"
"714","미드소마","5","잘 기획된 서울과 뉴욕 홍보용 1시간 50분짜리 뮤직 비디오."
"715","해피 투게더","6","평점 알바에 속지마시길...그냥 킬링타임용 영화..."
"716","승리호","8","생각없이 웃으면서 재밌게 봤네요^^"
"717","미션 파서블","10","자본주의가 존재하는한 이 영화는 언제나 젊은이들의 가슴을 울릴수 있으리라."
"718","이스케이프 플랜3","10","사회의 문제점을 지적하는 동시에 많은 의미를 부여하는 영화"
"719","극장판 귀멸의 칼날: 무한열차편","10",""
"720","승리호","7","조희팔을 재료로 만들었는데 시나리오는 엉성하고 캐릭터는 틀에 박혔다 평점 7.2"
"721","순정","10","함께 본 호랑이 그리고 끝 내 함께 볼 수 없었던 물고기들.주인공들의 감정의 서사를 잘 표현한 작품."
"722","골든슬럼버","8","퇴마하는 씬은 일본 오리엔탈리즘의 절정을 보여줌"
"723","이스케이프 플랜 2: 하데스","9","진정한 사랑의 의미를 다시 한 번 느끼게 해준 가슴 잔잔한 영화였습니다 결말도 꾀 맘에 드네요 꼭 보세요~"
"724","미드소마","1","미션 임파서블 시리즈 전체에 누를 끼지는 작품"
"725","해피 투게더","10","진짜 너무 속상한 영화, 현실 그래도 마지막이 너무 속상하지 않아서 다행이였어요.한지민 최고!!"
"726","승리호","10","애니를 원래 즐겨보는 사람은 아닌제 이걸 보고 느꼈음 귀칼은 정말 명작이라는 걸... 진짜 개재밌음 진짜 진ㅁ즈 진짜 이건 영화관에서 봐야함 정말 너무 재밌어여 꼭 보셍ㅛ 휴지 꼭 챙겨가시구요 넘 재밌다구여 정말 ㅠㅠㅠㅠ"
"727","미션 파서블","10","누군가에게 꼭보라고 추천을 할만큼인진 모르겠지만내가 이영화를 봤다는게 참 행운이구나 느끼는영화"
"728","이스케이프 플랜3","6","이와이 슌지의 전작보다 많이 부족한 편지"
"729","극장판 귀멸의 칼날: 무한열차편","10","평점 너무낮네...ㅜ 볼만했는데"
"730","승리호","10","사랑하는 사람들과 헤어질 수 밖에 없는 삶이란"
"731","순정","10","디테일이 살아있음... 결혼해서 세자매가 저러는데 남편들이 불쌍함... 여자들은 감정 조절이 힘듬."
"732","골든슬럼버","8","Moon River 노래 너무 좋다.60년대인데 왠지 지금보다 세련된거 같다오드리헵번만 소화 할 수 있는 옷들 특히 맨처음에 검정드레스에 커피와 크루아상을 먹는 장면은 명장면이다."
"733","이스케이프 플랜 2: 하데스","10","보는내내 눈이 즐거운영화.보는장면이 모두 액자속 그림같은 어둡고 침침한 교도소안도 앤틱하고 분위기있게 그려내는  감독의 연츨력이 대단합니다.보고 후회하지않을 영화입니다."
"734","미드소마","10","영화도 물론인데 OST가 죽여줌"
"735","해피 투게더","1","주인공이 착한역이요. 모자른역이요.애를 왜 저지경으로 만들어 놓나. 하. 할말이 없다. 감독누구나."
"736","승리호","8","사설탐정이 왜케 허술하고 멍청한거야"
"737","미션 파서블","10","최근 본영화중에 최고"
"738","이스케이프 플랜3","10","어렸을 때 정말 재밌게 본 영화죠~ 유덕화, 임청하 멋있어요. 이화궁중도 멋있고~~"
"739","극장판 귀멸의 칼날: 무한열차편","7","singin'in the rain~고전 뮤지컬영화는 역시 굿탭댄스를 추는 장면이 제일 좋았다"
"740","승리호","10","극단적으로 표현했지만 우리 인생과 같다.주변을 돌아보게 되는 영화"
"741","순정","8","감독이 뭔가 너무 가르치고 싶어하는듯... 물론 끄덕여지는것은 있으나 현재를 살라는 내용의 명상 자기계발 이런것도 워낙 많아그런가  메세지도 약간 진부음악과 영상은 좋음 ^^"
"742","골든슬럼버","10","다 필요없고 영화관에서 남자 둘이서 봄요"
"743","이스케이프 플랜 2: 하데스","8","중반까진 루즈한면이 있지만 후반부로 갈수록 재밌어요"
"744","미드소마","9","무시라....ㄷㄷㄷ 낮에 오시면 안 될까요 ㄷ"
"745","해피 투게더","10","미소머금고 보다가 눈물 흘렸어요..친구들도 멋져요"
"746","승리호","10","스토리 ost 연기 다 너무 좋았던 영화"
"747","미션 파서블","10","난 걍 클로이모레츠 볼려고 봄~너무져아 ^^"
"748","이스케이프 플랜3","8","QT 영화를 좋아한다면 꿀잼. 재키 브라운을 못봤네.."
"749","극장판 귀멸의 칼날: 무한열차편","10","조니뎁 영원하리~~~ 완전잼"
"750","승리호","10","우선 마지막 전투씬이 대박, 역대급이라 할 수 있음그리고 시대별 최고의 사망스토리로 1990년대 야이바 구슬의 시련-친구들의 희생, 2000년대 쵸파 dr.히루루크-사람이 언제 죽는다 생각하느냐, 2010년대 에이스-칠칠치 못한 나를 사랑해줘서 고마워, 2020년대 쿄지로-가슴으로 불태워라르ㅡ 정리할 수 있음"
"751","순정","10","왤케 평점이 낮지? 조작인가? 볼만한데... 10점까지는 아니지만 이정도 평점은 아니어서 평점좀 올려야겠어요"
"752","골든슬럼버","8","고교시절의 기억들이 아름다웠어요."
"753","이스케이프 플랜 2: 하데스","10",""
"754","미드소마","10",""
"755","해피 투게더","10",""
"756","승리호","2","돈준다해도 안봐 이색 대체뭔데 이리까지 하냐?"
"757","미션 파서블","10","와 눈도 안깜빡이고봄... ㅋㅋㅋ 액션 지렷다ㅠㅠㅠ"
"758","이스케이프 플랜3","10","케빈 스페이시의 정감가는 얼굴때문인지 더욱 감동은 증폭된다."
"759","극장판 귀멸의 칼날: 무한열차편","1","일본영화임. 끝"
"760","승리호","10","화려한 영상미에서 힘이 느껴지네요. 감동과재미다잡았네요."
"761","순정","10","아진짜 뭐야... 이 띵작...아무생각없이 넷플에서 호감배우 차태현님 때문애 봤는데 ㅜ.ㅜ차태현님 작품 보는 눈 수준이 높은건가?왜 다 감동적인거임 ㅜ.ㅜ 개꿀잼 강추입니다!!!한번 보고 두번 보시고, 세번도 보세요!"
"762","골든슬럼버","10","울고싶은날 이영화보고 펑펑울었네요 나문희님 연기는 정말 100점드리고싶어요 여운이남네요 .."
"763","이스케이프 플랜 2: 하데스","8","피해자들끼리의 복수란"
"764","미드소마","1","와16분이나 봤네요 정신병 걸릴거 같아요음악이랑 화면이 약빠는 느낌보고나면 맨정신이 상쾌해져요"
"765","해피 투게더","9","너 나 잘 하 세 요 . 박찬욱 감독은 실망 시키지 않는다."
"766","승리호","10","돈안들이고 이정도면 뭐 선방했네...저 아저씨 첫 주연인데 조금 아쉽...ㅎㅎ"
"767","미션 파서블","7","종교인들이 평점을 낮춘 것 같다."
"768","이스케이프 플랜3","9","실화라니 정말 놀랍다. 생존하기 위해 얼마나 힘들고 좌절하고 포기하고 싶었을까. 내가 얀이라면 난 살 수 없었을 것 같다. 주인공을 도운 시민들도 정말 대단하다. 목숨걸고 구한건데 그럴 수 있을까? 영상도 너무 좋았고 일제강점기 생각도 나면서 이당시 노르웨이와 독일의 역사를 알 수 있었다. 전쟁은 없어져야하고 평화만 있는 세상이길 바란다. 얀이 궁금해서 검색해보니까 실제 그분과 결혼까지 하셨다니 정말이지 소설같은 사실이다. 추천한다."
"769","극장판 귀멸의 칼날: 무한열차편","10","왕가위 매력에 흠뻑 ,,, 넘나 사랑해요 ..."
"770","승리호","9",""
"771","순정","10","왜 우리나라 평론가들은 ""중2병""에 걸렸는가?"
"772","골든슬럼버","6","중국 SF영화와의 차이점이 거의 없는 클리셰 투성이인 진짜 뻔한 내용의 영화 미국에서 이렇게 만들었다면 엄청 욕먹었을 영화...."
"773","이스케이프 플랜 2: 하데스","6","정말 한국 배우썻으면 더 좋았지싶다^~^"
"774","미드소마","10","이 영화보면서 21세기 전세계 언어학자들이 극찬하는 한글이 있기 까지 그리고 우리들에게 오기까지 많은 이들의 헌신과 봉사와 사명 덕분임을 알게되니 참으로 감사하고 고맙고 그럽니다. 그리고 책도 좋지만 영화야말로 대중에 널리 안알려졌었던 이야기를 전하는데 최고임을 알게 되네요. 영화제작진분들께도 감사합니다.^^"
"775","해피 투게더","10","무엇인가 닿을 듯 닿지 않는... 그러나, 그것이 주는 여운을 담아내는 이와이 슌지 감독다운 영화를 정말 오래간만에 마주했다. 대학생 무렵에 보았던 4월 이야기에서의 마츠 다카코가 이제는 중년의 아줌마가 된 것 처럼 비슷한 연배의 추억 이야기가 마치 과거에 경험했던 여운과 감동으로 또다시 느껴졌다. 20여년의 세월 후에 이런 작품을 또 다시 볼 수 있기를..."
