"","title","point","review"
"152","클래식","10","엄밀하게는 비극인데도.. 청춘의 행복과 인생의 긍정이 담겨있는 한국 멜로의 초걸작. 빗속을 질주하는 지혜는 젊음의 기쁨 그 자체!"
"153","몰리스 게임","10","2시간 20분이 짧게 느껴짐실제 인물들을 알고보니 더 ㅎㅁㅈㅈ"
"154","그것만이 내 세상","10","이병헌을 보면서 진짜 못 배워먹은 복싱쟁이 같다고 생각하고 박정민을 보면서 진짜 서번트 중후군 같았음. 어색한 순간이 1도 없었음. 윤여정 연기도 진짜 최고. 잘 만들고 배우들이 잘 살린 영화 한 편임"
"155","우리들의 일기","8","1,2점은 아닌듯. 생각보다는  잼나던데.바람 보다 낫던데"
"156","디스터비아","1","자기를 훔쳐봤던 애랑 사랑에 빠진다고? 사춘기 소년의 망상이 실제라고? 갑자기 비는 왜 오남? 그냥 옆집 소녀와는 공감대가 있어 사귀면 되고 옆집은 그냥 어쩌다가 살인 의심장면을 보게 되고 팽팽한 대결로 ....뭐 이런 식으로 진행되던지 나 살인자요 하고 이름표를 달고 연기하면 어떻게????아무리 영화라도 좀 제대로 만듭시다 제발 제작비 안전하게 회수할려고 상투적인 전개로 끌어간 것 같아서 너무 아쉬운 영화 ㅠㅜ"
"157","말모이","10","재밌었어요. 말이 모이는것"
"158","미나리","10","정말 좋은 영화입니다. 감동입니다."
"159","새해전야","8","보고싶었던 영화인데그냥 무난하게 본거같아요코로나로 여행도 못갔는데영화보는내내 여행가고픈 생각이 드네요이연희님은 역시 예뻐요"
"160","소울","10","삶의목적이 있어야 하고 그것을 찾아야만 행복할수있는줄 알았는데, 그것이 아니라 살아가며 당연히 여겼던 것들이 선물이였고, 행복이 중요하다는걸 다시 한번 깨닫게 되었어요! 영상미도 너무좋고 힐링되는느낌이였고, 위로도 받고 용기도 얻게됐습니다 :)"
"161","꾼","10","넷플릭스에 있길래 우연히 봤는데 생각보다 넘 재밌네요. 마지막 엔딩 장면보니 시즌2도 나올것 같은데.. 제작 예정이시라면 빨리 크랭크인 해주셨으면 좋겠네요.. 넘 재밌게 봤습니다!"
"162","변신","10","엔딩 음악만이 구슬프고 서글프다."
"163","기생충","1","너무 별론데...  봉준호..  설국이나 기생충같은 억지로 교훈 줄려는 영화 그만 만들고.. 살인의 추억 같은 영화를 만들어라.."
"164","미나리","8","영화 좋았습니다 함께 힘내서 살아가는모습이 위로가 됐네요"
"165","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"166","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"167","미나리","9","영화 도입부부터 나오는 OST 영화에 빠져든다. 척박한 땅을 개척해 나가는 모습~ 우리민족이라는게 자랑스럽다."
"168","동네사람들","6","원빈아저씨가 지켜주어 잘자란 김새론이 마동석아저씨 만나는 영화"
"169","미나리","10","이 영화 안보면 인생의 절반은 후회한다."
"170","언브로큰","9","앞으로 평론가 평점은 거르고 영화 봐야겠다."
"171","장난스런 키스","6","관객들에게 장난스럽게 로맨스."
"172","당신을 오랫동안 사랑했어요","10","아 너무 좋다... 프랑스 영화는 영상미만 예쁘다고 생각했었는데.. 잔잔한 흐름도 마음에 들었고 나오는 비지엠들마다 다 좋았음.. 영화 크레딧이 올라가고 비지엠 듣고 싶어서 끝까지 본 영화"
"173","미쓰백","9","세상안 아무리 지옥같은 인생이라도 사랑의  구원자는 있었다. 사랑이란...장면, 장면중 보는내내 가슴이 아파 결국 눈물을 남겼다.연출, 연기, ost 다 좋음!"
"174","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"175","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"176","극장판 귀멸의 칼날: 무한열차편","10","휴... 빨리 다음편 마렵다구요!! 넷플릭스에서 무한열차 전까지 다 나와서 이틀밤 세서 보고 얼릉 영화보구 뒤에 이야기는 만화로 다 봤습니당  스토리는 물론 너무 좋지만 영상미가 완전 눈이 즐거우요. 너무 재밌었어요"
"177","그린 북","10","그린북 열번 정도 봤습니다. 다들 꼭 보시길 바랍니다"
"178","블랙 호크 다운","10","내 인생 최고의 전쟁영화다.꼭 보시길~~~"
"179","미나리","10","잔잔한 감동이 가슴을 때리네요"
"180","미나리","10","잔잔한 감동이 가슴을 때리네요"
"181","해피 투게더","10","너무나 복합적인 영화인거같다."
"182","미나리","10","윤여정 배우님 연기 정말 최고입니다."
"183","블레이드 러너 2049","10","이제야 구매해서 봤는데 영화관에서 못본게 너무너무 안타깝네요... 영화관 스크린에 사운드로 봤으면 지렸을듯..ㅠ"
"184","미나리","9","내밀하고 진솔한 경험이 우리 삶의 놀라운 찬가가 되다."
"185","구라, 베토벤","10","제 인생 두번째 독립영화에요. 강추에요. 지루하지 않게 잘 봤어요"
"186","미나리","10","미국은 애초에 태생적으로 “이민자”의 나라다.. 아메리칸 드림을 이뤄내고자 하는 다양한 인종의 사람들이, 저마다의 사연을 가지고, 그들의 장점들을 최대한 되살려 직업에 종사했고, 결과적으로 세계 최강국의 원동력의 중요한 한 부분이 되었다. 그 중 분명 이민자의 서러움을 이겨낸 가족의 힘도 포함돼 있다..."
"187","몬스터 헌터","10","이거...게임 원작이예요...  스토리가 이상하네?! 싶었는데 게임 원작이고 몬스터도 게임에 나오는것들.... 영화끝나고 찾아보니 이해가 가더라구요. 아무런 배경지식없이 보신분들 읭(?) 할 수 있지만, 눈요깃거리로는 나쁘지않아요. 평점테러가 많아서 10점 줍니다. 유플티비로 결제하고 봤어요~"
"188","극장판 귀멸의 칼날: 무한열차편","8","원작을 뛰어넘는 작화, 실사 영화와 같은 영상미가 끝내줬습니다. 칼이라는 다른 문화에서는 이질적인 요소를 따뜻한 영상과 스토리로 풀어낸 수작이라고 생각합니다."
"189","극장판 귀멸의 칼날: 무한열차편","10","아무것도 모르는 상태에서 봤는데도 몰입감 있고 재밌었습니다!"
"190","디스터비아","1","처음에 주인공 극혐이네 망원경으로 여자 관찰 하는거 토쏠리네 그 얼굴로"
"191","라따뚜이","7","아메리칸쉐프 보세요~"
"192","철없는 아내와 파란만장한 남편, 그리고 태권소녀","8","사실 이런영화... 많아져야합니다! 감독의 정신세계가 궁금해지는 영화"
"193","승리호","1","cg만 신경썼나봄 외국에선 어떻게 볼지 창피하다"
"194","승리호","9","한국배우만 나왔으면 어색했겠지만 이런 배경에 외국인들도 많이 나오고 그 속에 한국인이 잘 스며들어 자연스러워 보였음. CG는 국내 영화중 역대급이었고. 스토리는 평타. 송중기 연기실력이 더 는거같음. 연기력도 다들 굳. 스토리는 평범하긴 했지만 송중기가 회상씬 연기가 좋아서 나름 감동적이었음."
"195","코드명 J","5","2021년에 일본이 세계패권을 잡는걸 당연하게 생각했던 시대..1995년!"
