,goodsname,goodsprice
114,CJ)비비고소고기무국500G,4500
115,CJ)비비고소고기미역국500G,4500
116,CJ)비비고육개장500G,4500
117,CJ)비비고콩나물황태국500G,4500
118,CJ)누룽지닭백숙죽280G,3900
119,CJ)비비고단호박죽280G,3900
120,CJ)비비고버섯야채죽280G,3900
121,CJ)비비고소고기죽280G,3900
122,CJ)비비고통단팥죽280G,3900
123,CJ)비비고흑임자죽280G,3900
124,CJ)햇반미역국밥(컵밥),3900
125,CJ)햇반사골곰탕국밥(컵밥),3900
126,CJ)햇반육개장국밥(컵밥),3900
127,CJ)햇반황태국밥(컵밥),3900
128,CJ)햇반(발아현미밥)210G,2600
129,CJ)햇반(오곡밥)210G,2600
130,CJ)햇반(찰잡곡밥)210G,2600
131,CJ)햇반(흑미밥)210G,2600
132,CJ)햇반매일잡곡밥210G,2600
133,CJ)햇반(원형)210G,1950
134,반찬단지)간장알마늘120G,2500
135,반찬단지)깻잎무침120G,2500
136,반찬단지)무말랭이무침120G,2500
137,매그넘)루비100ML,3600
138,매그넘)민트바100ML,3600
139,매그넘)아몬드바100ML,3600
140,매그넘)클래식바110ML,3600
141,나뚜루)녹차파인트,11600
142,나뚜루)딸기파인트,11600
143,나뚜루)바닐라파인트,11600
144,나뚜루)스트로베리치즈파인트,11600
145,나뚜루)초코파인트,11600
146,나뚜루)캐슈바닐라(비건)474ML,11600
147,나뚜루)프렌치아포가또파인트,11600
148,서울우유)초콜릿우유아이스크림,9800
149,서울우유)흰우유아이스크림,9800
150,유어스)쌍쌍맛살110G,2200
151,한성)각잡다80G,2000
152,한성)몬스터크랩72G,1800
153,한성)크래미90G,2200
154,돌)올라이트바건과일40G,1200
155,돌)올라이트바크랜베리40G,1200
156,돌)올라이트바포레스트40G,1200
157,크리스탈라이트)피치망고그린2입,1800
158,크리스탈라이트)핑크레몬2입,1800
159,카카오프렌즈)망고스무디190ML,2000
160,카카오프렌즈)복숭아스무디190ML,2000
161,카카오프렌즈)애플스무디190ML,2000
162,광동)우엉차500ML,1600
163,광동)힘찬하루헛개차500ML,1600
164,광동)옥수수수염차500ML,1500
165,광동)솔표위청수골드75ML,1000
166,광동)비타500캔240ML,1200
167,광동)대추쌍화150ML,1500
168,현대)미에로화이바210ML,1400
169,동서)콜롬비아나블랙240ML,1200
170,동서)콜롬비아나아메리카노240ML,1200
171,동서)콜롬비아나카페라떼240ML,1200
172,맥심)TOP더블랙275ML,2200
173,맥심)TOP마스터라떼275ML,2200
174,맥심)TOP스위트아메리카노275ML,2200
